+(896,430) 1326
+(825,568) 1393
+(1,68) 69
+(717,482) 1199
+(183,933) 1116
+(886,892) 1778
+(527,820) 1347
+(789,794) 1583
+(1017,507) 1524
+(354,826) 1180
+(150,195) 345
+(763,275) 1038
+(759,59) 818
+(938,12) 950
+(102,1007) 1109
+(840,403) 1243
+(696,130) 826
+(568,575) 1143
+(105,374) 479
+(934,756) 1690
+(41,659) 700
+(877,737) 1614
+(945,554) 1499
+(333,49) 382
+(739,459) 1198
+(337,960) 1297
+(186,655) 841
+(4,730) 734
+(674,517) 1191
+(468,863) 1331
+(826,79) 905
+(136,289) 425
+(908,15) 923
+(74,715) 789
+(571,6) 577
+(717,462) 1179
+(473,713) 1186
+(891,242) 1133
+(526,947) 1473
+(392,626) 1018
+(354,249) 603
+(303,424) 727
+(974,337) 1311
+(943,18) 961
+(149,138) 287
+(840,614) 1454
+(299,898) 1197
+(198,517) 715
+(130,162) 292
+(665,349) 1014
+(744,798) 1542
+(728,140) 868
+(595,502) 1097
+(465,448) 913
+(943,1007) 1950
+(502,996) 1498
+(529,968) 1497
+(195,462) 657
+(132,989) 1121
+(372,1013) 1385
+(567,525) 1092
+(844,683) 1527
+(91,331) 422
+(534,748) 1282
+(763,274) 1037
+(54,702) 756
+(462,798) 1260
+(707,107) 814
+(745,707) 1452
+(508,758) 1266
+(861,979) 1840
+(926,429) 1355
+(997,506) 1503
+(934,619) 1553
+(81,793) 874
+(505,138) 643
+(673,517) 1190
+(933,752) 1685
+(776,931) 1707
+(404,294) 698
+(432,957) 1389
+(511,657) 1168
+(666,292) 958
+(1010,440) 1450
+(781,193) 974
+(806,358) 1164
+(153,734) 887
+(144,840) 984
+(471,165) 636
+(741,712) 1453
+(943,252) 1195
+(565,659) 1224
+(20,370) 390
+(236,546) 782
+(193,182) 375
+(634,325) 959
+(191,745) 936
+(392,30) 422
+(191,792) 983
+(209,779) 988
+(617,575) 1192
+(325,835) 1160
+(46,520) 566
+(546,715) 1261
+(53,784) 837
+(179,468) 647
+(756,107) 863
+(3,550) 553
+(814,737) 1551
+(130,881) 1011
+(547,59) 606
+(580,715) 1295
+(476,127) 603
+(759,734) 1493
+(431,625) 1056
+(920,591) 1511
+(846,802) 1648
+(947,638) 1585
+(384,465) 849
+(372,3) 375
+(177,532) 709
+(744,574) 1318
+(568,759) 1327
+(617,364) 981
+(381,220) 601
+(806,451) 1257
+(1021,129) 1150
+(657,663) 1320
+(316,452) 768
+(448,635) 1083
+(1,661) 662
+(965,737) 1702
+(371,182) 553
+(903,448) 1351
+(761,629) 1390
+(840,789) 1629
+(260,745) 1005
+(433,296) 729
+(805,796) 1601
+(677,814) 1491
+(26,844) 870
+(430,149) 579
+(584,448) 1032
+(991,46) 1037
+(365,278) 643
+(693,145) 838
+(849,490) 1339
+(625,596) 1221
+(599,318) 917
+(770,798) 1568
+(151,437) 588
+(153,806) 959
+(448,150) 598
+(314,274) 588
+(960,45) 1005
+(317,730) 1047
+(451,1005) 1456
+(745,10) 755
+(756,568) 1324
+(313,233) 546
+(562,958) 1520
+(816,364) 1180
+(465,316) 781
+(295,235) 530
+(30,26) 56
+(684,887) 1571
+(933,745) 1678
+(10,19) 29
+(600,313) 913
+(275,457) 732
+(814,284) 1098
+(186,584) 770
+(459,204) 663
+(381,471) 852
+(932,592) 1524
+(517,365) 882
+(844,540) 1384
+(548,132) 680
+(788,781) 1569
+(250,539) 789
+(84,1022) 1106
+(81,880) 961
+(575,798) 1373
+(891,852) 1743
+(342,416) 758
+(194,291) 485
+(874,15) 889
+(943,904) 1847
+(293,198) 491
+(987,729) 1716
+(223,575) 798
+(840,859) 1699
+(759,338) 1097
+(381,379) 760
+(826,45) 871
+(165,855) 1020
+(303,707) 1010
+(142,217) 359
+(790,857) 1647
+(812,293) 1105
+(316,855) 1171
+(830,478) 1308
+(173,664) 837
+(794,803) 1597
+(745,1007) 1752
+(257,792) 1049
+(491,1002) 1493
+(509,707) 1216
+(365,257) 622
+(542,243) 785
+(384,692) 1076
+(74,447) 521
+(987,792) 1779
+(49,10) 59
+(242,18) 260
+(278,14) 292
+(343,312) 655
+(381,229) 610
+(489,38) 527
+(400,561) 961
+(568,526) 1094
+(127,182) 309
+(343,494) 837
+(931,429) 1360
+(654,708) 1362
+(471,393) 864
+(478,372) 850
+(761,559) 1320
+(390,250) 640
+(977,455) 1432
+(615,139) 754
+(465,150) 615
+(509,789) 1298
+(408,727) 1135
+(573,682) 1255
+(303,233) 536
+(940,129) 1069
+(574,967) 1541
+(733,325) 1058
+(25,936) 961
+(380,1017) 1397
+(838,855) 1693
+(642,336) 978
+(77,556) 633
+(967,358) 1325
+(794,886) 1680
+(101,602) 703
+(998,932) 1930
+(584,134) 718
+(1007,863) 1870
+(249,212) 461
+(457,957) 1414
+(707,752) 1459
+(80,116) 196
+(774,666) 1440
+(138,560) 698
+(242,696) 938
+(473,580) 1053
+(520,883) 1403
+(608,712) 1320
+(627,526) 1153
+(291,700) 991
+(559,554) 1113
+(974,620) 1594
+(654,191) 845
+(721,945) 1666
+(751,101) 852
+(275,686) 961
+(306,396) 702
+(242,244) 486
+(655,638) 1293
+(990,333) 1323
+(748,528) 1276
+(653,393) 1046
+(344,751) 1095
+(283,943) 1226
+(640,18) 658
+(781,223) 1004
+(372,448) 820
+(701,45) 746
+(682,409) 1091
+(994,980) 1974
+(551,781) 1332
+(383,810) 1193
+(82,210) 292
+(961,28) 989
+(986,788) 1774
+(127,462) 589
+(565,323) 888
+(617,663) 1280
+(344,434) 778
+(448,920) 1368
+(85,49) 134
+(569,316) 885
+(1017,761) 1778
+(773,618) 1391
+(890,729) 1619
+(621,551) 1172
+(961,28) 989
+(1002,529) 1531
+(997,865) 1862
+(961,857) 1818
+(893,946) 1839
+(779,452) 1231
+(712,73) 785
+(712,945) 1657
+(321,664) 985
